hierarchy;SIDC;fullpath;name;icon-png;icon-svg
1.X.2.2.1.2.2;S*A*WMAA--;AIR TRACK|WEAPON|MISSILE IN FLIGHT|AIR LAUNCHED MISSILE|AIR TO AIR MISSILE (AAM);AIR TO AIR MISSILE (AAM);1.X.2.2.1.2.2.png;1.X.2.2.1.2.2.svg
1.X.2.2.1.3;S*A*WMU---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|SUBSURFACE TO SURFACE MISSILE (S/SSM);SUBSURFACE TO SURFACE MISSILE (S/SSM);1.X.2.2.1.3.png;1.X.2.2.1.3.svg
1.X.2.2.1.4;S*A*WML---;AIR TRACK|WEAPON|MISSILE IN FLIGHT|LAND ATTACK MISSILE;LAND ATTACK MISSILE;1.X.2.2.1.4.png;1.X.2.2.1.4.svg
1.X.2.2.2;S*A*WD----;AIR TRACK|WEAPON|DECOY;DECOY;1.X.2.2.2.png;1.X.2.2.2.svg
1.X.2.3;S*A*C-----;AIR TRACK|CIVIL AIRCRAFT;CIVIL AIRCRAFT;1.X.2.3.png;1.X.2.3.svg
1.X.2.3.1;S*A*CF----;AIR TRACK|CIVIL AIRCRAFT|FIXED WING;FIXED WING;1.X.2.3.1.png;1.X.2.3.1.svg
1.X.2.3.2;S*A*CH----;AIR TRACK|CIVIL AIRCRAFT|ROTARY WING;ROTARY WING;1.X.2.3.2.png;1.X.2.3.2.svg
1.X.2.3.3;S*A*CL----;AIR TRACK|CIVIL AIRCRAFT|LIGHTER THAN AIR;LIGHTER THAN AIR;1.X.2.3.3.png;1.X.2.3.3.svg
1.X.3;S*G*------;GROUND TRACK;GROUND TRACK;1.X.3.png;1.X.3.svg
1.X.3.1;S*G*U-----;GROUND TRACK|UNIT;UNIT;1.X.3.1.png;1.X.3.1.svg
1.X.3.1.1;S*G*UC----;GROUND TRACK|UNIT|COMBAT;COMBAT;1.X.3.1.1.png;1.X.3.1.1.svg
1.X.3.1.1.1;S*G*UCD---;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE;AIR DEFENCE;1.X.3.1.1.1.png;1.X.3.1.1.1.svg
1.X.3.1.1.1.1;S*G*UCDS--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|SHORT RANGE;SHORT RANGE;1.X.3.1.1.1.1.png;1.X.3.1.1.1.1.svg
1.X.3.1.1.1.1.1;S*G*UCDS--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|SHORT RANGE|MISSILE;MISSILE;1.X.3.1.1.1.1.1.png;1.X.3.1.1.1.1.1.svg
1.X.3.1.1.1.1.2;S*G*UCDS--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|SHORT RANGE|GUN;GUN;1.X.3.1.1.1.1.2.png;1.X.3.1.1.1.1.2.svg
1.X.3.1.1.1.2;S*G*UCDM--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE;AIR DEFENCE MISSILE;1.X.3.1.1.1.2.png;1.X.3.1.1.1.2.svg
1.X.3.1.1.1.2.1;S*G*UCDML-;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE|AIR DEFENCE MISSILE LIGHT;AIR DEFENCE MISSILE LIGHT;1.X.3.1.1.1.2.1.png;1.X.3.1.1.1.2.1.svg
1.X.3.1.1.1.2.1.1;S*G*UCDMLA;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE|AIR DEFENCE MISSILE LIGHT|AIR DEFENCE MISSILE MOTORIZED;AIR DEFENCE MISSILE MOTORIZED;1.X.3.1.1.1.2.1.1.png;1.X.3.1.1.1.2.1.1.svg
1.X.3.1.1.1.2.2;S*G*UCDMM-;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE|AIR DEFENCE MISSILE MEDIUM;AIR DEFENCE MISSILE MEDIUM;1.X.3.1.1.1.2.2.png;1.X.3.1.1.1.2.2.svg
1.X.3.1.1.1.2.3;S*G*UCDMH-;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE|AIR DEFENCE MISSILE HEAVY;AIR DEFENCE MISSILE HEAVY;1.X.3.1.1.1.2.3.png;1.X.3.1.1.1.2.3.svg
1.X.3.1.1.1.2.4;S*G*UCDH--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|AIR DEFENCE MISSILE|H/MAD;H/MAD;1.X.3.1.1.1.2.4.png;1.X.3.1.1.1.2.4.svg
1.X.3.1.1.1.3;S*G*UCDG--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|GUN UNIT;GUN UNIT;1.X.3.1.1.1.3.png;1.X.3.1.1.1.3.svg
1.X.3.1.1.1.4;S*G*UCDC--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|COMPOSITE;COMPOSITE;1.X.3.1.1.1.4.png;1.X.3.1.1.1.4.svg
1.X.3.1.1.1.5;S*G*UCDT--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|TARGETING UNIT;TARGETING UNIT;1.X.3.1.1.1.5.png;1.X.3.1.1.1.5.svg
1.X.3.1.1.1.6;S*G*UCDO--;GROUND TRACK|UNIT|COMBAT|AIR DEFENCE|THEATRE MISSILE DEFENCE UNIT;THEATRE MISSILE DEFENCE UNIT;1.X.3.1.1.1.6.png;1.X.3.1.1.1.6.svg
1.X.3.1.1.2;S*G*UCA---;GROUND TRACK|UNIT|COMBAT|ARMOUR;ARMOUR;1.X.3.1.1.2.png;1.X.3.1.1.2.svg
1.X.3.1.1.2.1;S*G*UCAT--;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK;ARMOUR TRACK;1.X.3.1.1.2.1.png;1.X.3.1.1.2.1.svg
1.X.3.1.1.2.1.1;S*G*UCATA-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK AIRBORNE;ARMOUR TRACK AIRBORNE;1.X.3.1.1.2.1.1.png;1.X.3.1.1.2.1.1.svg
1.X.3.1.1.2.1.2;S*G*UCATW-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK AMPHIBIOUS;ARMOUR TRACK AMPHIBIOUS;1.X.3.1.1.2.1.2.png;1.X.3.1.1.2.1.2.svg
1.X.3.1.1.2.1.2.1;S*G*UCATWR;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK AMPHIBIOUS|ARMOUR TRACK AMPHIBIOUS RECOVERY;ARMOUR TRACK AMPHIBIOUS RECOVERY;1.X.3.1.1.2.1.2.1.png;1.X.3.1.1.2.1.2.1.svg
1.X.3.1.1.2.1.3;S*G*UCATL-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK, LIGHT;ARMOUR TRACK, LIGHT;1.X.3.1.1.2.1.3.png;1.X.3.1.1.2.1.3.svg
1.X.3.1.1.2.1.4;S*G*UCATM-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK, MEDIUM;ARMOUR TRACK, MEDIUM;1.X.3.1.1.2.1.4.png;1.X.3.1.1.2.1.4.svg
1.X.3.1.1.2.1.5;S*G*UCATH-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK, HEAVY;ARMOUR TRACK, HEAVY;1.X.3.1.1.2.1.5.png;1.X.3.1.1.2.1.5.svg
1.X.3.1.1.2.1.6;S*G*UCATR-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR TRACK|ARMOUR TRACK, RECOVERY;ARMOUR TRACK, RECOVERY;1.X.3.1.1.2.1.6.png;1.X.3.1.1.2.1.6.svg
1.X.3.1.1.2.2;S*G*UCAW--;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED;ARMOUR, WHEELED;1.X.3.1.1.2.2.png;1.X.3.1.1.2.2.svg
1.X.3.1.1.2.2.1;S*G*UCAWS-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED AIR ASSAULT;ARMOUR, WHEELED AIR ASSAULT;1.X.3.1.1.2.2.1.png;1.X.3.1.1.2.2.1.svg
1.X.3.1.1.2.2.2;S*G*UCAWA-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED AIRBORNE;ARMOUR, WHEELED AIRBORNE;1.X.3.1.1.2.2.2.png;1.X.3.1.1.2.2.2.svg
1.X.3.1.1.2.2.3;S*G*UCAWA-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED AMPHIBIOUS;ARMOUR, WHEELED AMPHIBIOUS;1.X.3.1.1.2.2.3.png;1.X.3.1.1.2.2.3.svg
1.X.3.1.1.2.2.4;S*G*UCAWL-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED LIGHT;ARMOUR, WHEELED LIGHT;1.X.3.1.1.2.2.4.png;1.X.3.1.1.2.2.4.svg
1.X.3.1.1.2.2.5;S*G*UCAWM-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED MEDIUM;ARMOUR, WHEELED MEDIUM;1.X.3.1.1.2.2.5.png;1.X.3.1.1.2.2.5.svg
1.X.3.1.1.2.2.6;S*G*UCAWH-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED HEAVY;ARMOUR, WHEELED HEAVY;1.X.3.1.1.2.2.6.png;1.X.3.1.1.2.2.6.svg
1.X.3.1.1.2.2.7;S*G*UCAWR-;GROUND TRACK|UNIT|COMBAT|ARMOUR|ARMOUR, WHEELED|ARMOUR, WHEELED RECOVERY;ARMOUR, WHEELED RECOVERY;1.X.3.1.1.2.2.7.png;1.X.3.1.1.2.2.7.svg
1.X.3.1.1.3;S*G*UCAA--;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR;ANTI ARMOUR;1.X.3.1.1.3.png;1.X.3.1.1.3.svg
1.X.3.1.1.3.1;S*G*UCAAD-;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR DISMOUNTED;ANTI ARMOUR DISMOUNTED;1.X.3.1.1.3.1.png;1.X.3.1.1.3.1.svg
1.X.3.1.1.3.2;S*G*UCAAL-;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR LIGHT;ANTI ARMOUR LIGHT;1.X.3.1.1.3.2.png;1.X.3.1.1.3.2.svg
1.X.3.1.1.3.3;S*G*UCAAM-;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR AIRBORNE;ANTI ARMOUR AIRBORNE;1.X.3.1.1.3.3.png;1.X.3.1.1.3.3.svg
1.X.3.1.1.3.4;S*G*UCAAS-;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR AIR ASSAULT;ANTI ARMOUR AIR ASSAULT;1.X.3.1.1.3.4.png;1.X.3.1.1.3.4.svg
1.X.3.1.1.3.5;S*G*UCAAU-;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR MOUNTAIN;ANTI ARMOUR MOUNTAIN;1.X.3.1.1.3.5.png;1.X.3.1.1.3.5.svg
1.X.3.1.1.3.6;S*G*UCAAC-;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR ARCTIC;ANTI ARMOUR ARCTIC;1.X.3.1.1.3.6.png;1.X.3.1.1.3.6.svg
1.X.3.1.1.3.7;S*G*UCAAA-;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR ARMOURED;ANTI ARMOUR ARMOURED;1.X.3.1.1.3.7.png;1.X.3.1.1.3.7.svg
1.X.3.1.1.3.7.1;S*G*UCAAAT;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR ARMOURED|ANTI ARMOUR ARMOURED TRACKED;ANTI ARMOUR ARMOURED TRACKED;1.X.3.1.1.3.7.1.png;1.X.3.1.1.3.7.1.svg
